	Ano	CasaID	ID_partida	PlacarCasa	PlacarVisitante	Resultado	Rodada	VisitanteID	abrev_clube_casa	abrev_clube_fora
715	2015	285	190087	0.0	0.0	Empate	4	276	INT	SAO
719	2016	285	201291	1.0	1.0	Empate	21	276	INT	SAO
723	2014	288	180214	1.0	2.0	Visitante	32	276	CRI	SAO
725	2014	315	180239	0.0	0.0	Empate	30	276	CHA	SAO
729	2015	315	190122	0.0	1.0	Visitante	7	276	CHA	SAO
733	2016	315	201585	2.0	0.0	Casa	36	276	CHA	SAO
737	2017	315	211518	2.0	0.0		14	276	CHA	SAO
741	2014	263	179892	2.0	4.0	Visitante	20	276	BOT	SAO
745	2016	263	201227	0.0	1.0	Visitante	1	276	BOT	SAO
749	2017	263	211569	3.0	4.0		17	276	BOT	SAO
755	2014	292	180147	1.0	0.0	Casa	38	276	SPT	SAO
759	2015	292	190191	2.0	0.0	Casa	14	276	SPT	SAO
763	2016	292	201469	1.0	1.0	Empate	29	276	SPT	SAO
767	2017	292	211385	0.0	0.0		7	276	SPT	SAO
769	2014	264	179964	3.0	2.0	Casa	23	276	COR	SAO
773	2015	264	190404	6.0	1.0	Casa	36	276	COR	SAO
777	2016	264	201467	1.0	1.0	Empate	15	276	COR	SAO
781	2017	264	211352	3.0	2.0		6	276	COR	SAO
785	2014	275	180100	1.0	2.0	Visitante	15	276	PAL	SAO
789	2015	275	190134	4.0	0.0	Casa	9	276	PAL	SAO
793	2016	275	201329	2.0	1.0	Casa	23	276	PAL	SAO
797	2017	275	211481	4.0	2.0		22	276	PAL	SAO
801	2014	294	179947	3.0	1.0	Casa	22	276	CFC	SAO
805	2015	294	190371	1.0	2.0	Visitante	32	276	CFC	SAO
809	2016	294	201252	1.0	1.0	Empate	3	276	CFC	SAO
813	2017	294	211214	1.0	2.0		37	276	CFC	SAO
817	2014	283	179887	1.0	1.0	Empate	2	276	CRU	SAO
821	2015	283	190389	2.0	1.0	Casa	34	276	CRU	SAO
825	2016	283	201301	0.0	1.0	Visitante	6	276	CRU	SAO
829	2017	283	211243	1.0	0.0		1	276	CRU	SAO
833	2014	287	180221	1.0	2.0	Visitante	33	276	VIT	SAO
837	2016	287	201411	2.0	0.0	Casa	27	276	VIT	SAO
841	2017	287	211456	1.0	2.0		24	276	VIT	SAO
845	2014	284	180029	0.0	1.0	Visitante	26	276	GRE	SAO
849	2015	284	190298	1.0	2.0	Visitante	25	276	GRE	SAO
853	2016	284	201496	1.0	0.0	Casa	16	276	GRE	SAO
857	2017	284	211235	1.0	0.0		35	276	GRE	SAO
861	2014	316	180155	1.0	1.0	Empate	18	276	FIG	SAO
865	2015	316	190229	0.0	2.0	Visitante	18	276	FIG	SAO
869	2016	316	201273	1.0	0.0	Casa	5	276	FIG	SAO
873	2014	290	180063	2.0	1.0	Casa	12	276	GOI	SAO
875	2015	290	190432	0.0	1.0	Visitante	38	276	GOI	SAO
877	2015	267	190167	0.0	4.0	Visitante	12	276	VAS	SAO
879	2017	267	211250	1.0	1.0		34	276	VAS	SAO
881	2015	314	190320	2.0	1.0	Casa	27	276	AVA	SAO
883	2017	314	211508	1.0	1.0		21	276	AVA	SAO
885	2015	303	190065	1.0	0.0	Casa	2	276	PON	SAO
889	2016	303	201448	1.0	0.0	Casa	13	276	PON	SAO
893	2017	303	211317	1.0	0.0		4	276	PON	SAO
897	2015	317	190273	0.0	0.0	Empate	22	276	JEC	SAO
899	2016	327	201551	1.0	0.0	Casa	33	276	AME	SAO
901	2016	344	201555	1.0	2.0	Visitante	19	276	SCZ	SAO
903	2017	373	211287	0.0	1.0		32	276	ACG	SAO
905	2014	262	179946	1.0	1.0	Empate	6	265	FLA	BAH
907	2017	262	211340	4.0	1.0		29	265	FLA	BAH
909	2014	266	180016	1.0	1.0	Empate	26	265	FLU	BAH
911	2017	266	211299	1.0	1.0		31	265	FLU	BAH
913	2014	276	180247	2.0	1.0	Casa	29	265	SAO	BAH
915	2017	276	211202	1.0	1.0		38	265	SAO	BAH
917	2014	277	180073	1.0	0.0	Casa	27	265	SAN	BAH
919	2017	277	211561	3.0	0.0		16	265	SAN	BAH
921	2014	293	180129	0.0	0.0	Empate	17	265	CAP	BAH
923	2017	293	211524	4.0	1.0		20	265	CAP	BAH
925	2014	282	180048	1.0	1.0	Empate	11	265	CAM	BAH
927	2017	282	211543	0.0	2.0		15	265	CAM	BAH
929	2014	285	180162	2.0	0.0	Casa	31	265	INT	BAH
931	2014	288	180219	0.0	1.0	Visitante	35	265	CRI	BAH
932	2014	315	180030	2.0	1.0	Casa	9	265	CHA	BAH
934	2017	315	211558	1.0	1.0		18	265	CHA	BAH
936	2014	263	179938	2.0	3.0	Visitante	22	265	BOT	BAH
938	2017	263	211289	1.0	0.0		3	265	BOT	BAH
941	2014	292	179928	1.0	0.0	Casa	5	265	SPT	BAH
943	2017	292	211225	1.0	0.0		36	265	SPT	BAH
944	2014	264	180099	1.0	1.0	Empate	15	265	COR	BAH
946	2017	264	211402	3.0	0.0		9	265	COR	BAH
948	2014	275	180070	1.0	1.0	Empate	13	265	PAL	BAH
950	2017	275	211371	2.0	2.0		27	265	PAL	BAH
952	2014	294	180151	3.0	2.0	Casa	38	265	CFC	BAH
954	2017	294	211384	0.0	0.0		7	265	CFC	BAH
956	2014	283	179905	2.0	1.0	Casa	20	265	CRU	BAH
958	2017	283	211453	1.0	0.0		24	265	CRU	BAH
960	2014	287	179969	2.0	1.0	Casa	23	265	VIT	BAH
962	2017	287	211446	0.0	0.0		11	265	VIT	BAH
964	2014	284	180153	1.0	0.0	Casa	18	265	GRE	BAH
966	2017	284	211355	1.0	0.0		6	265	GRE	BAH
968	2014	316	179890	0.0	2.0	Visitante	2	265	FIG	BAH
970	2014	290	180224	3.0	0.0	Casa	33	265	GOI	BAH
971	2017	267	211270	2.0	1.0		2	265	VAS	BAH
972	2017	314	211268	1.0	2.0		33	265	AVA	BAH
973	2017	303	211497	0.0	3.0		13	265	PON	BAH
975	2017	373	211467	1.0	1.0		23	265	ACG	BAH
976	2014	262	179960	1.0	1.0	Empate	23	266	FLA	FLU
980	2015	262	190086	2.0	3.0	Visitante	4	266	FLA	FLU
984	2016	262	201388	1.0	2.0	Visitante	11	266	FLA	FLU
988	2017	262	211370	1.0	1.0		27	266	FLA	FLU
992	2014	276	179995	1.0	3.0	Visitante	25	266	SAO	FLU
996	2015	276	190154	0.0	0.0	Empate	11	266	SAO	FLU
1000	2016	276	201407	2.0	1.0	Casa	12	266	SAO	FLU
1004	2017	276	211422	1.0	1.0		10	266	SAO	FLU
1008	2014	277	180230	0.0	1.0	Visitante	30	266	SAN	FLU
1012	2015	277	190335	3.0	1.0	Casa	29	266	SAN	FLU
1016	2016	277	201449	2.0	1.0	Casa	29	266	SAN	FLU
1020	2017	277	211521	0.0	0.0		20	266	SAN	FLU
1024	2014	293	180058	0.0	3.0	Visitante	12	266	CAP	FLU
1028	2015	293	190181	1.0	2.0	Visitante	13	266	CAP	FLU
1032	2016	293	201497	1.0	0.0	Casa	16	266	CAP	FLU
1036	2017	293	211454	3.0	1.0		24	266	CAP	FLU
1040	2014	282	180005	2.0	0.0	Casa	8	266	CAM	FLU
1044	2015	282	190068	4.0	1.0	Casa	2	266	CAM	FLU
1048	2016	282	201270	1.0	1.0	Empate	5	266	CAM	FLU
1052	2017	282	211273	1.0	2.0		2	266	CAM	FLU
1056	2014	265	179985	0.0	1.0	Visitante	7	266	BAH	FLU
1058	2017	265	211476	1.0	1.0		12	266	BAH	FLU
1060	2014	285	180111	2.0	1.0	Casa	28	266	INT	FLU
